subdomain,is_reachable
iapetos.khaos.uma.es,False
iberfemcom.uma.es,True
ibm1.ac.uma.es,False
ibm2.ac.uma.es,False
ic173.ic.uma.es,False
ic2209.ic.uma.es,True
icaatomdev.uma.es,True
icai.lcc.uma.es,False
iciatc.uma.es,True
icics04.lcc.uma.es,False
iclave9.uma.es,False
icm2009.isa.uma.es,False
icuma0.sci.uma.es,False
ide.uma.es,True
idei-datos.uma.es,True
idei.uma.es,False
ideproyectos.uma.es,False
idp-des.uma.es,True
idp-pre.uma.es,False
idp-test.cv.uma.es,True
idp.cv.uma.es,True
idp.uma.es,True
idpbridge.cv.uma.es,True
igem.uma.es,True
ignaciocalderon.uma.es,True
igsuma.uma.es,True
ihsmsubtropicals.uma.es,True
iio.uma.es,True
imagen.sci.uma.es,False
imap.eis.uma.es,True
imateck.uma.es,True
imgids.uma.es,True
immf.uma.es,True
impre-2b05.psi.uma.es,False
impulsotfe.uma.es,True
incadi.uma.es,False
incompliance.uma.es,False
indagasteamescuela.uma.es,True
industriales.cv.uma.es,True
infor1.informatica.uma.es,True
informatica.cv.uma.es,True
informatica.informatica.uma.es,True
informatica.reservas.aulas.uma.es,True
ingrid.iaia.lcc.uma.es,True
innoeduca.uma.es,True
inter-didactica-andaluza.uma.es,True
inter-trust.lcc.uma.es,False
interaccion2020.uma.es,False
interaccion2021.uma.es,False
interschale.uma.es,False
intranet.isa.uma.es,False
intranetinterna.isa.uma.es,False
investigacion.bellasartes.uma.es,True
iot.ac.uma.es,False
iplab.uma.es,False
ipv6-11.adabyron.uma.es,False
ipv6-15.adabyron.uma.es,False
ipv6-16.adabyron.uma.es,False
ipv6-17.adabyron.uma.es,False
ipv6-18.adabyron.uma.es,False
ipv6-20.adabyron.uma.es,False
ireservas.lcc.uma.es,False
iris-vlc.sci.uma.es,True
iris.sci.uma.es,False
isainv02.isa.uma.es,False
itaca.gisum.uma.es,False
itaca.lcc.uma.es,False
itis.uma.es,True
itramita-test.uma.es,True
itramita.uma.es,True
iuitlm.uma.es,True
ivm.ac.uma.es,False
iwann.uma.es,True
iwann2009.dte.uma.es,False
jabber.uma.es,False
jabega.uma.es,True
jabega2.uma.es,False
jabegacat.uma.es,False
jabegasso.uma.es,False
jano7.sci.uma.es,False
jara.ac.uma.es,False
jardinbotanico.uma.es,True
jicie.uma.es,True
jmw.sci.uma.es,False
jornadas-criticas-psicologia.uma.es,True
jornadasSUE.uma.es,True
jornadassue.uma.es,True
jreb22.uma.es,True
juanfc.lcc.uma.es,False
julio.lcc.uma.es,False
jupiter.lcc.uma.es,False
jurisprudencia.dipr.uma.es,True
kepler.uma.es,True
khaos.uma.es,True
khaoshdd.lcc.uma.es,False
klmsext2.sci.uma.es,False
kml01.ruma.uma.es,False
lab-13k14.ingenierias.uma.es,False
labcomandalucia.uma.es,True
labfserv.uma.es,True
lacre.sci.uma.es,False
lacre.uma.es,True
lafabricademalaga.uma.es,False
laser.uma.es,True
lats.uma.es,False
laweb.bbaa.uma.es,False
lcc.uma.es,True
ldap.lcc.uma.es,False
ldap.uma.es,False
ldap1.uma.es,False
ldap2.uma.es,False
ldap3.uma.es,False
ldap4.uma.es,False
ldap5.uma.es,False
ldap6.uma.es,False
ldbf.uma.es,False
leeduca.uma.es,False
lenguayprensa.uma.es,True
letras-1b11.filosofia.uma.es,False
levante.ac.uma.es,False
libr-e.uma.es,True
licom.uma.es,False
limbo.uma.es,False
link.uma.es,True
linumi.uma.es,True
locus-fusion.uma.es,True
lti.adabyron.uma.es,True
ltl.uma.es,True
lucy.sci.uma.es,False
mabf2.invmedicas.uma.es,False
maceta.sci.uma.es,False
maeb09.lcc.uma.es,False
mail.iaia.lcc.uma.es,True
malaga2010.lcc.uma.es,False
malakanet.adabyron.uma.es,True
mallba10.lcc.uma.es,True
mallba3.lcc.uma.es,True
mallba4.lcc.uma.es,True
mallba7.lcc.uma.es,True
mapagestionprlpymes.uma.es,True
mapir.isa.uma.es,True
mapir.uma.es,True
mapirdev.uma.es,True
mareaplastic.uma.es,False
marlon.lcc.uma.es,True
mart.uma.es,True
marte.lcc.uma.es,False
masotri.uma.es,True
master-ingenieria-quimica.uma.es,True
master-siet-eii.uma.es,True
master.cooperacion.uma.es,True
master.malagacf.uma.es,False
masteraudiovisualescenicas.uma.es,False
masterdomotica.uma.es,True
masterenretailmarketing.uma.es,True
masterinftel.uma.es,False
mastermarketingdigital.uma.es,True
mastermedicinaestetica.uma.es,False
masteroficialprl.uma.es,True
masterprlseguridadintegral.uma.es,True
masterrecursoshumanos.uma.es,True
mastervideojuegos.uma.es,True
mastervip.uma.es,True
mat-eco.ccee.uma.es,False
mateco.ccee.uma.es,False
maverick.sci.uma.es,False
maxct.lcc.uma.es,True
mba.uma.es,True
mbaleriola.sci.uma.es,False
mc.geb.uma.es,False
mcdm2013.decytec.ccee.uma.es,False
mdi2010.lcc.uma.es,False
medea.iaia.lcc.uma.es,True
medicalrobotics.uma.es,True
medicina.cv.uma.es,True
medicinadeportiva.uma.es,True
mediolab.uma.es,True
mediterraneo.uma.es,True
medusa.sci.uma.es,False
meif2.uma.es,True
melomics.uma.es,False
menta.uma.es,False
metabuscadorbbl.uma.es,False
metagger.uma.es,False
meteoskin.uma.es,False
metosite.uma.es,True
mgc.sci.uma.es,False
mgc2.sci.uma.es,False
mia.etsit.uma.es,True
mia.uma.es,True
microsol.uma.es,True
minerva.uma.es,True
minervanova.uma.es,True
minervanovapre.uma.es,True
minervapre.uma.es,True
mira.lcc.uma.es,False
mit-mtrt.etsit.uma.es,True
mizar.lcc.uma.es,True
mlg.iaia.lcc.uma.es,True
mobilenet.uma.es,True
mobilenetiot.uma.es,True
moe.uma.es,True
monitor-saict.cv.uma.es,True
moocpie19143.uma.es,True
moodle.iaia.lcc.uma.es,True
mop.cv.uma.es,True
morphogen.uma.es,False
morse.uma.es,True
moveon.lcc.uma.es,True
movilidadeco.uma.es,True
mqtt.ertis.uma.es,False
msa3.sci.uma.es,False
mseeiuma.uma.es,False
mstar.lcc.uma.es,True
mtabulk3.sci.uma.es,False
mtaext3.sci.uma.es,False
mtagmail3.sci.uma.es,False
mtamxext3.sci.uma.es,False
mtamxint3.sci.uma.es,False
mtaruma3.sci.uma.es,False
mtrt.etsit.uma.es,True
muii.informatica.uma.es,True
muiiseg.lcc.uma.es,False
muiiseg10.lcc.uma.es,False
muiiseg15.lcc.uma.es,False
muiiseg20.lcc.uma.es,False
mujol.dte.uma.es,False
multifisica.uma.es,False
murillo.medicina.uma.es,False
museo.fotografico.virtual.uma.es,True
musihabitus.uma.es,True
mxext3.sci.uma.es,False
mxgmail3.sci.uma.es,False
mxruma3.sci.uma.es,False
necco.uma.es,True
nemesis.lcc.uma.es,False
neo.lcc.uma.es,False
neovictorianorientations.uma.es,True
neptuno.lcc.uma.es,True
neptuno.uma.es,False
nevero.ic.uma.es,True
newcaliope.sci.uma.es,False
nexus.uma.es,True
nics.uma.es,True
nimbo.sci.uma.es,False
nmalaka.spicum.uma.es,False
nmi.uma.es,True
nolineal18.uma.es,True
nonlinear18.uma.es,True
nprocie.uma.es,True
ns.geb.uma.es,False
nube.uma.es,True
nvidiadli.uma.es,True
oas.sci.uma.es,False
oasdes.sci.uma.es,False
oaspre.sci.uma.es,False
oasys.uma.es,True
obd.ac.uma.es,False
observa-e.uma.es,True
observatoriodeconflictos.uma.es,True
observatorioenergia.uma.es,True
obstral.uma.es,False
obvio.uma.es,True
oc.iaia.lcc.uma.es,True
ocatdi.sci.uma.es,False
octopus.sci.uma.es,False
ocw.uma.es,True
odoo.triangle.morse.adabyron.uma.es,True
ofertaidi.uma.es,True
ofm11gocup.ext.uma.es,False
og6.lcc.uma.es,False
ogmios-test.uma.es,True
ogmios.iaia.lcc.uma.es,True
ogmios.iaia.test.lcc.uma.es,False
ogmios.test.iaia.lcc.uma.es,True
ogmios.uma.es,True
olimpiada-matematica.uma.es,True
oliveatlas.uma.es,True
omeg.uma.es,True
omega.otri.uma.es,False
oplink.lcc.uma.es,True
orienta.uma.es,True
orza.sci.uma.es,False
osm.uma.es,True
otriplus.uma.es,True
outdoorict.uma.es,False
owncloud.ac.uma.es,True
owncloud.etsit.uma.es,False
owncloud.informatica.uma.es,True
oyms.gestion.uma.es,False
packaging.uma.es,True
pagosrrii.uma.es,True
paisajehistorico.uma.es,True
panaceacatalogue.adabyron.uma.es,True
panaceaweb.adabyron.uma.es,True
pasosvivienda.uma.es,False
pbxuma01.ruma.uma.es,False
pc100te.dte.uma.es,False
pc107te.dte.uma.es,False
pc109te.dte.uma.es,True
pc18te.dte.uma.es,False
pc23te.dte.uma.es,False
pc59te.dte.uma.es,False
pcmunoz.sci.uma.es,False
pcramon.sci.uma.es,False
pcramon1.sci.uma.es,False
pcvirtual.cv.uma.es,True
pe.uma.es,False
pegaso.sci.uma.es,False
perfcont.sci.uma.es,False
performnetworks.morse.uma.es,True
perseabase.uma.es,True
peulacloud.adabyron.uma.es,True
phoebe.lcc.uma.es,False
photonics-rf.uma.es,False
picasso.scbi.uma.es,False
pid.uma.es,False
pieevaluacion.uma.es,True
pieroacademy.uma.es,False
pies.uma.es,True
